    INFO: 2023-01-25 17:35:07,630:               log.py:   20: Logging to D:\Documentos\Unity Projects\Projeto CasoMoretti\mdpdf.log
   DEBUG: 2023-01-25 17:35:07,631:               cli.py:  103: README.md
    INFO: 2023-01-25 17:35:07,631:         converter.py:   14: README.md
   DEBUG: 2023-01-25 17:35:07,643:      pdf_renderer.py:  470: printSegment: Caso Moretti
   DEBUG: 2023-01-25 17:35:07,660:      pdf_renderer.py:  470: printSegment: Um caso negligenciado de feminicídio que precisa ser resolvido. O jogador assume o papel de investigador e deve
   DEBUG: 2023-01-25 17:35:07,669:      pdf_renderer.py:  470: printSegment: coletar evidências, entrevistar testemunhas e desvendar pistas para desvendar a verdade por trás do crime e trazer
   DEBUG: 2023-01-25 17:35:07,670:      pdf_renderer.py:  470: printSegment: justiça à vítima. O jogo é baseado em fatos reais e visa sensibilizar o público sobre a importância de combater a
   DEBUG: 2023-01-25 17:35:07,670:      pdf_renderer.py:  470: printSegment: violência contra as mulheres e promover a igualdade de gênero. Ele oferece uma jogabilidade envolvente e uma
   DEBUG: 2023-01-25 17:35:07,671:      pdf_renderer.py:  470: printSegment: história emocionante, além de trazer uma mensagem importante para o público.
   DEBUG: 2023-01-25 17:35:07,671:      pdf_renderer.py:  470: printSegment: Objetivo do desenvolvimento do jogo
   DEBUG: 2023-01-25 17:35:07,671:      pdf_renderer.py:  470: printSegment: Este jogo foi desenvolvido com o intuito de ser submetido a avaliação final de semestre, do curso de Jogos Digitais
   DEBUG: 2023-01-25 17:35:07,671:      pdf_renderer.py:  470: printSegment: no IFBA - Lauro de Freitas. Tendo como norteamento o tema transversal os Direitos Humanos, com o enfoque no 
   DEBUG: 2023-01-25 17:35:07,678:      pdf_renderer.py:  470: printSegment: feminicídio
   DEBUG: 2023-01-25 17:35:07,686:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2023-01-25 17:35:07,687:      pdf_renderer.py:  470: printSegment: Imagens do jogo
   DEBUG: 2023-01-25 17:35:07,687:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:07,687:      pdf_renderer.py:  470: printSegment: Menu inicial
   DEBUG: 2023-01-25 17:35:07,690:      pdf_renderer.py:  235: D:\Documentos\Unity Projects\Projeto CasoMoretti\Docs\Images\Menu.png, 1895, 1079
   DEBUG: 2023-01-25 17:35:07,757:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:07,758:      pdf_renderer.py:  470: printSegment: Primeira Tela
   DEBUG: 2023-01-25 17:35:07,758:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:07,758:      pdf_renderer.py:  470: printSegment: Apartamento da vítima, onde ocorreu o assassinato.
   DEBUG: 2023-01-25 17:35:07,759:      pdf_renderer.py:  235: D:\Documentos\Unity Projects\Projeto CasoMoretti\Docs\Images\ApartamentoSofia.png, 1447, 1077
